id_sensor; timestamp; temperatura; humedad; CO2; volatiles
112.1;1714907910508;38.64;108.69;50;0.79
112.1;1714907911373;51.32;82.81;74;2.51
112.1;1714907911916;49.95;172.03;270;2.54
112.1;1714907912508;69.90;55.46;105;0.96
112.1;1714907913638;0.69;197.93;118;2.82
112.1;1714907914271;44.18;2.24;329;2.08
112.1;1714907915332;25.60;124.21;246;0.60
112.1;1714907915803;11.21;126.70;270;0.57
112.1;1714907921113;76.32;26.19;149;0.06
112.1;1714907923062;73.99;65.26;139;0.39
112.1;1714907923421;65.51;16.06;306;1.66
112.1;1714907924224;33.47;130.35;137;0.00
112.1;1714907924429;42.18;61.24;10;1.72
112.1;1714907925745;21.92;112.93;339;1.54
112.1;1714907926507;85.17;76.74;473;2.76
112.1;1714907926724;41.37;181.16;208;2.40
112.1;1714907927149;91.97;161.85;442;0.37
112.1;1714907929925;28.20;64.52;22;1.69
112.1;1714907930290;90.55;124.80;102;2.51
112.1;1714907931243;85.55;32.22;277;2.54
112.1;1714907932970;85.38;16.58;201;1.09
112.1;1714907933156;77.12;179.06;160;2.80
112.1;1714907934523;29.86;34.83;378;2.06
112.1;1714907935397;60.49;36.33;443;2.55
112.1;1714907935832;86.80;118.03;384;2.06
112.1;1714907936831;17.95;77.24;46;0.02
112.1;1714907940429;97.55;91.19;172;1.67
112.1;1714907941039;69.77;34.23;314;1.14
112.1;1714907941913;59.47;119.48;4;1.33
112.1;1714907942315;72.96;11.06;352;0.71
112.1;1714907942735;67.04;71.19;346;0.96
112.1;1714907943503;70.66;81.41;395;1.82
112.1;1714907946248;40.17;66.85;471;2.16
112.1;1714907946824;41.61;17.66;159;1.12
112.1;1714907947416;85.48;59.87;258;1.72
112.1;1714907947871;12.10;13.92;48;2.89
112.1;1714907950072;36.93;117.98;154;1.62
