id_sensor; timestamp; temperatura; humedad; CO2; volatiles
114.1;1713264386857;21.88;163.87;90;2.73
114.1;1713264387899;32.88;195.96;20;0.12
114.1;1713264388054;37.42;10.65;475;2.36
114.1;1713264389673;77.78;171.77;271;2.08
114.1;1713264389823;4.78;48.62;98;0.39
114.1;1713264390400;92.93;6.00;206;2.15
114.1;1713264391087;77.11;145.06;497;1.85
114.1;1713264391650;6.54;145.27;287;0.05
114.1;1713264392070;47.52;124.61;360;2.08
114.1;1713264392444;64.79;43.84;94;1.89
114.1;1713264392720;29.54;23.54;164;2.56
114.1;1713264393141;56.80;109.39;100;1.51
114.1;1713264393350;47.57;140.28;164;2.08
114.1;1713264393612;21.01;135.48;327;0.39
114.1;1713264393906;95.57;121.13;354;0.97
114.1;1713264394588;52.29;39.84;91;0.95
114.1;1713264395100;2.22;55.85;373;0.36
114.1;1713264395569;76.32;108.79;262;2.26
114.1;1713264395847;53.67;104.77;173;1.84
114.1;1713264397054;33.65;32.60;330;1.94
114.1;1713264398243;78.63;90.62;344;1.55
114.1;1713264398640;82.65;62.95;111;2.59
114.1;1713264398791;0.07;179.78;119;2.43
114.1;1713264398998;40.69;0.69;200;1.18
114.1;1713264399323;0.72;190.88;134;1.05
114.1;1713264399517;57.40;156.83;171;1.33
114.1;1713264399796;32.26;14.55;496;1.18
114.1;1713264400261;73.92;77.27;377;0.97
114.1;1713264400309;34.24;105.50;399;2.30
114.1;1713264400728;39.68;65.29;314;2.77
114.1;1713264400838;72.84;0.56;313;2.28
114.1;1713264400998;44.33;140.08;96;1.82
114.1;1713264401857;77.17;177.25;33;1.59
114.1;1713264403585;20.68;199.48;471;0.94
114.1;1713264403699;98.29;19.66;4;2.01
114.1;1713264403925;81.37;34.95;137;0.43
114.1;1713264404658;56.87;37.43;6;2.41
114.1;1713264405158;66.20;136.37;157;0.05
114.1;1713264405862;76.22;56.17;76;2.31
114.1;1713264405894;33.37;166.63;95;2.24
114.1;1713264406349;79.84;101.55;114;1.19
114.1;1713264406502;8.21;101.51;92;2.42
114.1;1713264406800;65.52;94.52;238;2.34
114.1;1713264408341;4.00;38.33;394;1.93
114.1;1713264408530;46.27;107.62;282;1.78
114.1;1713264408802;84.46;65.05;307;0.03
114.1;1713264409368;47.88;106.62;26;1.29
114.1;1713264409453;94.06;173.46;16;1.49
114.1;1713264409508;97.02;115.50;44;1.79
114.1;1713264409615;47.98;136.66;268;2.29
114.1;1713264410329;37.65;196.13;44;1.73
114.1;1713264410810;51.82;106.12;109;3.00
114.1;1713264411344;65.85;58.86;481;0.26
114.1;1713264411578;30.26;188.69;45;0.64
114.1;1713264411722;47.94;14.31;397;0.62
114.1;1713264411864;14.45;9.29;464;0.82
114.1;1713264413112;16.62;73.09;343;1.04
114.1;1713264413521;14.63;126.00;101;1.59
114.1;1713264414465;87.83;152.50;292;0.34
114.1;1713264414623;15.40;71.91;433;2.82
114.1;1713264416188;91.43;55.28;481;0.18
114.1;1713264416640;60.31;84.49;447;1.03
114.1;1713264416791;85.42;189.34;173;2.37
114.1;1713264417472;36.29;78.98;402;2.46
114.1;1713264417504;76.77;68.35;315;1.48
114.1;1713264417777;96.88;189.53;59;0.89
114.1;1713264418361;67.78;76.34;497;1.61
114.1;1713264418397;46.33;188.78;445;0.52
114.1;1713264419182;84.18;41.86;15;0.48
114.1;1713264419520;89.28;95.80;231;0.22
114.1;1713264420238;65.01;56.72;368;0.32
114.1;1713264420595;47.53;61.11;179;1.45
114.1;1713264421151;70.31;120.83;311;0.13
114.1;1713264421255;54.49;93.76;75;2.11
114.1;1713264422542;4.15;185.65;314;2.37
114.1;1713264423469;47.47;113.23;75;2.96
114.1;1713264423704;81.95;197.07;95;0.53
114.1;1713264424380;72.34;53.84;274;1.24
114.1;1713264424814;32.03;48.30;480;1.06
114.1;1713264425218;70.07;123.91;389;1.81
114.1;1713264425629;15.51;88.30;385;1.25
114.1;1713264426964;8.09;36.63;440;0.85
114.1;1713264427201;43.60;106.31;113;0.40
114.1;1713264427540;72.41;107.22;457;1.01
114.1;1713264428232;43.07;107.56;164;2.43
114.1;1713264428464;2.69;28.38;452;1.92
114.1;1713264429021;60.96;105.50;453;0.74
114.1;1713264429402;17.50;11.96;263;0.40
114.1;1713264429712;91.11;117.90;362;0.07
114.1;1713264429917;22.85;125.07;48;0.27
114.1;1713264430655;50.07;17.87;154;2.63
114.1;1713264430809;9.86;14.40;323;1.78
114.1;1713264431207;66.22;133.14;34;2.57
114.1;1713264431713;33.79;129.30;385;2.33
114.1;1713264431984;49.56;12.15;30;1.64
114.1;1713264432425;83.91;34.44;484;2.12
114.1;1713264433248;49.18;33.50;180;2.87
114.1;1713264434376;19.95;98.85;35;1.80
114.1;1713264436332;80.98;187.37;303;1.04
114.1;1713264436895;36.21;167.12;65;1.98
114.1;1713264437388;34.39;173.59;265;2.74
114.1;1713264437578;75.61;135.69;65;2.39
114.1;1713264438890;18.79;51.45;222;2.51
114.1;1713264439074;40.22;83.36;356;0.60
114.1;1713264439138;88.85;169.92;72;0.56
114.1;1713264441692;80.36;179.59;205;1.45
114.1;1713264443016;7.16;55.37;439;0.71
114.1;1713264443536;29.59;148.51;363;0.47
114.1;1713264443922;17.32;64.87;435;2.64
114.1;1713264444838;39.95;13.63;16;2.96
114.1;1713264445344;56.34;53.73;369;0.71
114.1;1713264445742;13.12;55.41;105;0.64
114.1;1713264446335;16.06;63.05;310;0.14
114.1;1713264447343;40.28;135.28;368;2.37
114.1;1713264447358;56.00;42.89;173;0.24
114.1;1713264448467;30.49;101.98;1;0.85
114.1;1713264448514;19.01;153.88;250;2.73
114.1;1713264448524;64.48;2.95;323;2.89
114.1;1713264449755;59.73;130.63;435;0.81
114.1;1713264450761;99.50;53.37;306;0.78
114.1;1713264451071;15.49;124.86;159;2.87
114.1;1713264451644;34.07;138.11;442;1.80
114.1;1713264451739;30.64;48.62;162;0.27
114.1;1713264451798;93.47;40.45;468;2.88
114.1;1713264452536;27.22;133.29;396;2.53
114.1;1713264453715;17.17;69.87;470;2.35
114.1;1713264453971;2.51;155.31;406;0.69
114.1;1713264454142;64.19;41.73;318;1.73
114.1;1713264455430;23.01;193.94;496;1.78
114.1;1713264455500;1.37;138.76;128;0.98
114.1;1713264456682;3.77;45.53;236;1.63
114.1;1713264456939;73.38;172.70;76;2.78
114.1;1713264457727;28.50;143.31;311;2.48
114.1;1713264458456;59.89;44.13;343;2.58
114.1;1713264458787;30.86;96.31;273;0.91
114.1;1713264459421;70.41;23.10;147;0.12
114.1;1713264461444;24.90;101.62;487;1.37
114.1;1713264461974;57.74;123.24;147;1.01
114.1;1713264463144;28.99;174.42;39;1.76
114.1;1713264463278;41.56;42.86;481;1.33
114.1;1713264464544;31.79;21.07;405;1.93
114.1;1713264466237;57.07;177.16;110;2.48
114.1;1713264466549;92.92;33.45;147;2.19
114.1;1713264467083;15.08;66.35;126;2.76
114.1;1713264467447;98.27;176.12;477;1.78
114.1;1713264467521;85.29;34.14;195;0.62
114.1;1713264467745;19.12;147.58;215;2.84
114.1;1713264468133;93.99;162.42;51;0.52
114.1;1713264468392;68.61;81.04;360;0.09
114.1;1713264468716;66.44;179.36;471;0.63
114.1;1713264468748;95.68;113.64;454;2.89
114.1;1713264468935;76.83;7.22;243;1.47
114.1;1713264469660;29.56;142.70;471;2.80
114.1;1713264470168;2.73;9.80;185;2.13
114.1;1713264470233;98.63;15.75;270;2.89
114.1;1713264470356;80.96;102.41;15;1.18
114.1;1713264470819;17.10;61.46;25;0.36
114.1;1713264470948;45.95;97.29;243;1.95
114.1;1713264471291;77.76;165.89;206;2.69
114.1;1713264471477;20.02;198.39;235;0.32
114.1;1713264472035;46.59;20.65;343;2.96
114.1;1713264472065;71.48;1.54;220;0.95
114.1;1713264472335;69.41;26.99;149;2.26
114.1;1713264472714;85.30;140.50;71;0.96
114.1;1713264472876;16.69;118.63;66;1.83
114.1;1713264473017;63.84;111.20;452;2.88
114.1;1713264474432;90.21;9.64;491;1.82
114.1;1713264474508;41.28;42.55;211;1.95
114.1;1713264475170;32.68;88.96;12;1.37
114.1;1713264475301;23.83;35.81;170;2.82
114.1;1713264476604;79.89;179.31;414;2.47
114.1;1713264477301;58.83;150.32;307;0.93
114.1;1713264478391;49.31;162.76;407;2.74
114.1;1713264479021;55.74;40.52;117;3.00
114.1;1713264479553;92.19;77.25;62;1.97
114.1;1713264479769;93.50;124.09;81;0.16
114.1;1713264480399;4.64;113.30;243;2.32
114.1;1713264480646;17.82;84.94;207;1.55
114.1;1713264481225;80.80;162.52;240;2.29
114.1;1713264482300;58.75;140.05;288;2.79
114.1;1713264482685;19.48;55.07;238;2.45
114.1;1713264482831;22.81;86.60;214;0.98
114.1;1713264483641;1.73;21.30;338;1.30
114.1;1713264484459;7.23;90.84;420;0.93
114.1;1713264485218;64.21;196.92;440;0.53
114.1;1713264485560;68.05;167.30;84;1.45
114.1;1713264486030;68.60;127.59;117;1.04
114.1;1713264486170;93.98;137.10;20;2.01
114.1;1713264486279;9.82;93.72;160;2.80
114.1;1713264486623;88.08;80.21;113;2.05
114.1;1713264487235;63.14;26.34;373;1.06
114.1;1713264487459;77.24;111.50;386;2.01
114.1;1713264487497;27.19;177.70;315;2.42
114.1;1713264487893;19.54;111.04;174;0.15
114.1;1713264488806;78.63;185.90;24;2.34
114.1;1713264489112;27.84;41.75;224;2.37
114.1;1713264490278;64.51;116.25;391;2.74
114.1;1713264490782;84.31;42.82;116;0.21
114.1;1713264491229;23.81;95.83;244;0.93
114.1;1713264491740;48.19;55.78;408;2.74
114.1;1713264492112;32.08;165.55;372;1.08
114.1;1713264492290;86.76;164.63;96;2.41
114.1;1713264492463;3.56;86.05;9;2.10
114.1;1713264493218;55.34;45.68;392;1.54
114.1;1713264493373;47.06;144.09;221;2.90
114.1;1713264493630;32.81;134.33;346;1.07
114.1;1713264493700;59.58;199.65;114;2.65
114.1;1713264494084;23.35;53.51;305;2.64
114.1;1713264494661;73.18;156.17;235;2.62
114.1;1713264495003;94.50;110.45;137;1.43
114.1;1713264495882;63.14;28.74;105;1.66
114.1;1713264495968;14.78;165.90;291;0.91
114.1;1713264496148;13.52;155.43;153;0.17
114.1;1713264496275;21.55;37.65;334;0.18
114.1;1713264496573;35.72;68.45;386;0.06
114.1;1713264496819;34.96;191.78;437;0.35
114.1;1713264497965;95.23;107.41;7;1.46
114.1;1713264498592;25.19;8.41;497;0.05
114.1;1713264499093;89.23;1.38;343;0.90
114.1;1713264499787;27.57;71.90;65;2.42
114.1;1713264500237;36.46;92.96;298;2.30
114.1;1713264500844;72.31;194.26;422;2.80
114.1;1713264502154;21.97;181.20;371;2.92
114.1;1713264502464;60.05;10.92;19;1.90
114.1;1713264502961;56.26;47.26;290;2.54
114.1;1713264503393;73.40;136.41;223;2.91
114.1;1713264503795;93.18;122.29;373;1.80
114.1;1713264504151;98.60;1.10;49;2.45
114.1;1713264504414;25.29;175.76;265;1.85
114.1;1713264504830;72.19;150.77;369;0.69
114.1;1713264505621;81.24;126.32;347;2.97
114.1;1713264505839;39.92;68.28;125;1.44
114.1;1713264506067;28.75;102.14;457;2.29
114.1;1713264507007;23.45;198.50;304;2.49
114.1;1713264507930;84.15;106.78;66;0.82
114.1;1713264508076;0.73;96.62;362;2.14
114.1;1713264508345;79.85;188.27;300;0.66
114.1;1713264508815;58.82;68.65;402;0.08
114.1;1713264509279;52.38;191.50;428;2.09
114.1;1713264509944;34.23;145.56;205;2.84
114.1;1713264510359;14.68;140.70;133;1.38
114.1;1713264511575;52.67;101.65;356;0.21
114.1;1713264512352;22.47;40.80;377;0.41
114.1;1713264513091;34.80;32.45;462;1.93
114.1;1713264513676;55.46;39.89;150;1.86
114.1;1713264515083;11.54;128.68;150;2.48
114.1;1713264515448;13.92;49.45;17;1.86
114.1;1713264516067;22.12;74.28;132;0.85
114.1;1713264516342;43.66;20.62;66;1.69
114.1;1713264516352;31.86;91.16;13;1.74
114.1;1713264516433;49.13;67.69;298;0.52
114.1;1713264517080;68.40;56.50;354;2.73
114.1;1713264517173;18.33;124.02;370;2.75
114.1;1713264517608;85.95;46.25;18;1.21
114.1;1713264517846;96.55;143.66;464;1.41
114.1;1713264517945;44.26;168.65;332;0.78
114.1;1713264518211;7.99;52.75;387;0.07
114.1;1713264518887;54.01;0.43;444;2.07
114.1;1713264519292;55.86;53.16;322;0.77
114.1;1713264519560;51.46;163.68;204;2.59
114.1;1713264519851;40.81;13.02;195;0.16
114.1;1713264520180;27.23;80.03;89;0.96
114.1;1713264520791;24.29;67.78;115;0.65
114.1;1713264521771;52.75;85.02;357;2.52
114.1;1713264522988;35.73;84.57;150;1.26
114.1;1713264523639;64.46;166.75;86;2.77
114.1;1713264523698;77.85;82.05;438;0.34
114.1;1713264523792;12.18;19.90;284;1.68
114.1;1713264524348;37.22;31.92;20;2.79
114.1;1713264524648;12.26;167.02;158;1.46
114.1;1713264524704;62.59;130.05;392;0.20
114.1;1713264525537;28.64;75.27;356;2.53
114.1;1713264526149;53.89;53.55;283;1.47
114.1;1713264526666;35.02;159.16;359;0.04
114.1;1713264526888;67.91;154.15;297;0.86
114.1;1713264526968;96.28;167.78;395;2.86
114.1;1713264526995;63.75;85.73;243;0.13
114.1;1713264527097;98.08;162.80;277;0.87
114.1;1713264528030;84.40;97.03;201;2.79
114.1;1713264528819;40.57;138.72;193;2.67
114.1;1713264529415;53.54;155.51;214;0.00
114.1;1713264529710;33.11;195.29;171;0.43
114.1;1713264529718;92.14;77.98;189;0.30
114.1;1713264530138;64.84;82.87;326;1.15
114.1;1713264530318;5.36;170.47;487;1.26
114.1;1713264531053;89.11;171.70;254;1.17
114.1;1713264531864;28.59;50.42;236;1.19
114.1;1713264531900;75.49;8.02;206;0.22
114.1;1713264532210;22.95;103.88;11;0.27
114.1;1713264532261;12.64;121.12;461;1.14
114.1;1713264534680;82.35;63.91;478;3.00
114.1;1713264534966;36.98;135.27;154;2.48
114.1;1713264535062;47.24;52.62;1;2.12
114.1;1713264535275;77.38;24.47;297;0.47
114.1;1713264535738;41.45;129.04;149;2.54
114.1;1713264536084;70.21;183.32;291;1.22
114.1;1713264536177;75.77;27.39;70;1.52
114.1;1713264536226;65.90;108.17;411;2.67
114.1;1713264536486;12.67;172.72;60;2.06
114.1;1713264536842;72.66;184.65;340;2.68
114.1;1713264536876;62.14;163.21;238;2.39
114.1;1713264537048;40.65;160.16;104;2.66
114.1;1713264537189;7.89;88.96;85;2.40
114.1;1713264537267;18.52;157.37;341;1.63
114.1;1713264537284;3.47;181.48;163;2.31
114.1;1713264537747;91.97;134.56;213;0.84
114.1;1713264538368;64.58;89.34;96;2.54
114.1;1713264538954;35.50;162.39;419;0.54
114.1;1713264539470;18.02;153.65;65;2.08
114.1;1713264539741;83.33;56.91;207;0.79
114.1;1713264540316;41.84;56.32;433;2.91
114.1;1713264540804;5.40;186.15;309;0.79
114.1;1713264540832;86.06;140.18;5;0.28
114.1;1713264541057;30.29;108.62;482;2.17
114.1;1713264541075;94.18;51.50;217;0.52
114.1;1713264541302;46.74;198.24;287;0.67
114.1;1713264541611;54.28;82.76;106;0.64
114.1;1713264541737;84.28;28.83;434;1.50
